node_index,position_nm,domain,is_free_dof,classical_displacement_nm,vqls_displacement_nm,absolute_error_nm
260,260.0,MD,1,13.082706766928549,13.967404751498542,0.8846979845699927
261,261.0,MD,1,13.133024869878273,14.020515781645976,0.8874909117677028
262,262.0,MD,1,13.183342972827994,14.073686395034672,0.8903434222066782
263,263.0,MD,1,13.233661075777714,14.126818515414318,0.8931574396366031
264,264.0,MD,1,13.283979178727437,14.179971341128532,0.8959921624010949
265,265.0,MD,1,13.334297281677161,14.233103245011302,0.8988059633341408
266,266.0,MD,1,13.384615384626887,14.286282153372268,0.9016667687453808
267,267.0,MD,1,13.434933487576613,14.339459440940308,0.9045259533636951
268,268.0,MD,1,13.485251590526337,14.39263966782092,0.9073880772945824
269,269.0,MD,1,13.53556969347606,14.44577071977526,0.9102010262992
270,270.0,MD,1,13.585887796425784,14.498955698553523,0.9130679021277395
271,271.0,MD,1,13.636205899375508,14.552110408088126,0.9159045087126181
272,272.0,MD,1,13.686524002325232,14.605271338684108,0.9187473363588765
273,273.0,MD,1,13.736842105274958,14.658421008993674,0.9215789037187161
274,274.0,MD,1,13.787160208224686,14.71160272538707,0.9244425171623849
275,275.0,MD,1,13.837478311174413,14.764777904870408,0.9272995936959951
276,276.0,MD,1,13.88779641412414,14.817972323166446,0.9301759090423065
277,277.0,MD,1,13.938114517073865,14.871086665805377,0.9329721487315119
278,278.0,MD,1,13.98843262002359,14.924277655985705,0.9358450359621155
279,279.0,MD,1,14.038750722973315,14.977441020619272,0.938690297645957
280,280.0,MD,1,14.089068825923041,15.030595837448148,0.9415270115251069
281,281.0,MD,1,14.139386928872764,15.08367443872706,0.9442875098542967
282,282.0,MD,1,14.189705031822488,15.13681347831434,0.9471084464918516
283,283.0,MD,1,14.24002313477221,15.189935652723406,0.949912517951196
284,284.0,MD,1,14.290341237721933,15.243077763947671,0.9527365262257383
285,285.0,MD,1,14.340659340671655,15.296154805916466,0.9554954652448107
286,286.0,MD,1,14.390977443621377,15.34925025537308,0.9582728117517032
287,287.0,MD,1,14.441295546571101,15.402316484237874,0.9610209376667722
288,288.0,MD,1,14.491613649520827,15.455365657018563,0.9637520074977353
289,289.0,MD,1,14.541931752470552,15.508434217732583,0.9665024652620318
290,290.0,MD,1,14.592249855420274,15.561480186659303,0.9692303312390287
291,291.0,MD,1,14.642567958369995,15.614499637736234,0.9719316793662394
292,292.0,MD,1,14.692886061319713,15.667545054285979,0.9746589929662655
293,293.0,MD,1,14.743204164269434,15.72056947566272,0.9773653113932852
294,294.0,MD,1,14.793522267219156,15.773634905382501,0.9801126381633445
295,295.0,MD,1,14.84384037016888,15.826687093236446,0.9828467230675653
296,296.0,MD,1,14.894158473118605,15.879731677112689,0.9855732039940843
297,297.0,MD,1,14.94447657606833,15.932736188954603,0.9882596128862726
298,298.0,MD,1,14.994794679018055,15.985758113549453,0.9909634345313982
299,299.0,MD,1,15.045112781967775,16.03877960169163,0.9936668197238543
300,300.0,MD,1,15.095430884917498,16.091798223494646,0.9963673385771479
301,301.0,MD,1,15.14574898786722,16.144809092838038,0.9990601049708179
302,302.0,MD,1,15.196067090816946,16.19777230171105,1.0017052108941051
303,303.0,MD,1,15.24638519376667,16.250726759169115,1.004341565402445
304,304.0,MD,1,15.296703296716393,16.303667160607183,1.0069638638907907
305,305.0,MD,1,15.347021399666117,16.35660834062107,1.0095869409549518
306,306.0,MD,1,15.397339502615843,16.40950385924123,1.0121643566253873
307,307.0,MD,1,15.447657605565567,16.46240702685935,1.0147494212937822
308,308.0,MD,1,15.497975708515291,16.5152889968304,1.0173132883151084
309,309.0,MD,1,15.548293811465015,16.568177049265998,1.0198832378009826
310,310.0,MD,1,15.59861191441474,16.621022621793355,1.022410707378615
311,311.0,MD,1,15.64893001736446,16.673864553348213,1.0249345359837534
312,312.0,MD,1,15.69924812031418,16.726681756284083,1.0274336359699028
313,313.0,MD,1,15.749566223263901,16.779512001792643,1.0299457785287416
314,314.0,MD,1,15.799884326213624,16.83227401514481,1.0323896889311879
315,315.0,MD,1,15.850202429163346,16.885043504495748,1.0348410753324018
316,316.0,MD,1,15.90052053211307,16.937797175707402,1.037276643594332
317,317.0,MD,1,15.950838635062793,16.99052047941308,1.039681844350289
318,318.0,MD,1,16.001156738012515,17.04322276690793,1.042066028895416
319,319.0,MD,1,16.051474840962236,17.09589891846075,1.0444240774985154
320,320.0,MD,1,16.101792943911956,17.14851660450829,1.046723660596335
321,321.0,MD,1,16.152111046861673,17.201206797643405,1.0490957507817313
322,322.0,MD,1,16.202429149811394,17.253786423107,1.0513572732956078
323,323.0,MD,1,16.252747252761118,17.3063997760911,1.0536525233299834
324,324.0,MD,1,16.303065355710842,17.358991016604435,1.0559256608935925
325,325.0,MD,1,16.353383458660566,17.411629278315907,1.0582458196553404
326,326.0,MD,1,16.40370156161029,17.464205364024643,1.0605038024143525
327,327.0,MD,1,16.454019664560015,17.516786969973253,1.0627673054132387
328,328.0,MD,1,16.504337767509742,17.569345239832025,1.0650074723222822
329,329.0,MD,1,16.554655870459467,17.621875182719457,1.06721931225999
330,330.0,MD,1,16.604973973409194,17.674394922660184,1.0694209492509898
331,331.0,MD,1,16.655292076358922,17.726931311042343,1.0716392346834205
332,332.0,MD,1,16.705610179308646,17.779431160111347,1.0738209808027008
333,333.0,MD,1,16.75592828225837,17.831954044623068,1.0760257623646972
334,334.0,MD,1,16.806246385208095,17.884426372308237,1.0781799871001425
335,335.0,MD,1,16.85656448815782,17.93688774069958,1.0803232525417599
336,336.0,MD,1,16.906882591107543,17.989284878036024,1.082402286928481
337,337.0,MD,1,16.95720069405727,18.041744457476145,1.0845437634188748
