time_ps,atom_index,full_lj_displacement_nm,full_lj_native_velocity_nm_per_ps,continuous_k2_displacement_nm,continuous_k2_native_velocity_nm_per_ps,unprojected_be_displacement_nm,unprojected_be_native_velocity_nm_per_ps,relifted_be_displacement_nm,relifted_be_native_velocity_nm_per_ps
0.08,2,6.42005199756574e-05,0.0031306710151446327,6.37947336534842e-05,0.0031102775286832216,7.294410678993892e-05,0.0033017106230219563,7.293980040429399e-05,0.003302103705935227
0.082,0,0.007945577725914829,-0.04611849346978329,0.007953052726509029,-0.04603909861706354,0.007922557508343076,-0.04555216436329792,0.007925301925852597,-0.04544177716846854
0.082,1,0.0019837342069526313,0.042759995197571836,0.001976707326169097,0.04270255224894118,0.001997429490144433,0.042017717002018735,0.0019946883485926566,0.0419068145932376
0.082,2,7.068806713254135e-05,0.0033584982722114826,7.023994732191127e-05,0.003336546368122307,8.001300151249725e-05,0.003534447361279165,8.000972555475569e-05,0.003534962575230847
0.084,0,0.00785259190585802,-0.046863307316400156,0.007860220079948766,-0.04678956462655536,0.007829986720429326,-0.046285393956875726,0.007832963581049592,-0.04616917240150343
0.084,1,0.0020697670623941416,0.04326720410848027,0.0020626325300117923,0.04321704339036606,0.0020824467683597915,0.04250863910767934,0.002079471880988356,0.04239176619784985
0.084,2,7.76410317478404e-05,0.0035961032079199094,7.714739003947882e-05,0.003572521236189257,8.756651121088998e-05,0.003776754849196363,8.756453796206268e-05,0.0037774062036534796
0.08600000000000001,0,0.007758140654594143,-0.04758388487990354,0.007765910490230524,-0.04751599790879009,0.007735997264733,-0.04699472784816353,0.007739218315440479,-0.04687263280455667
0.08600000000000001,1,0.002156780291318484,0.043740315903020986,0.002149552951388393,0.04369771297983372,0.0021683788296381146,0.042966030639161726,0.0021651581484220537,0.04284313371684928
0.08600000000000001,2,8.507905408737399e-05,0.0038435689768825713,8.453655838112196e-05,0.0038182849289563397,9.562390562889352e-05,0.004028697209001779,9.562353613747727e-05,0.0040294990877073
0.088,0,0.0076622726771248895,-0.04827999689753059,0.007670172279858953,-0.04821814448858286,0.0076406373853644,-0.047679939684299066,0.00764411441982627,-0.047551947807104616
0.088,1,0.0022447053927204075,0.044179028762021726,0.002237400616009546,0.04414423465458062,0.002255158052926509,0.043389611644196885,0.0022516794538295143,0.04326065270373022
0.088,2,9.302193015470366e-05,0.004100968135508881,9.242710413153944e-05,0.004073909834002212,0.00010420456170909792,0.004290328040102181,0.0001042061263442259,0.004291295103374313
