time_ps,continuous_k2_eta,continuous_k2_eta_relative,unprojected_be_eta,unprojected_be_eta_relative,relifted_be_preprojection_eta,relifted_be_preprojection_eta_relative,relifted_be_postprojection_eta,relifted_be_postprojection_eta_relative,max_abs_unprojected_vs_relifted_displacement_nm,max_abs_unprojected_vs_relifted_native_velocity_nm_per_ps
0.148,0.00032799246585645924,0.06176065987060537,0.0003246320437299875,0.06326225394461976,3.529388420914663e-06,0.000693805948186975,0.0,0.0,1.5804780449739028e-05,0.00024199849702927212
0.15,0.00031692122886818673,0.060151700073791704,0.0003162334071386739,0.06211328297335836,3.591862750616502e-06,0.0007116545296791446,0.0,0.0,1.6286233345397597e-05,0.00024072644782877073
0.152,0.0003067790381598334,0.05873330413551187,0.0003089574263271899,0.061207186423798514,3.6438705969019584e-06,0.0007281523220454701,0.0,0.0,1.676421062237962e-05,0.0002389886384911652
0.154,0.00029767569813372483,0.05752651591991229,0.00030291982926591653,0.060569242852095424,3.686402149133388e-06,0.0007434650815765419,0.0,0.0,1.7237765711646674e-05,0.00023677754463349854
0.156,0.00028970688397635715,0.056551341844320695,0.00029821371075942546,0.060222116680569655,3.720591989950265e-06,0.0007577863397974638,0.0,0.0,1.7705938777972698e-05,0.0002340865331632372
0.158,0.00028294920199370904,0.05582576994146297,0.0002949035795271774,0.06018454804802208,3.7476978393908617e-06,0.0007713359599661522,0.0,0.0,1.8167758540050573e-05,0.00023090988103877802
0.16,0.0002774554673244877,0.05536473401745332,0.00029302070225892143,0.06047017655335217,3.7690781891284454e-06,0.0007843584499702057,0.0,0.0,1.8622244123801292e-05,0.0002272427918753525
0.162,0.00027325083934875234,0.055179139673582775,0.0002925605510433753,0.06108667031562987,3.7861677510252097e-06,0.0007971207194828005,0.0,0.0,1.906840694457755e-05,0.00022308141038910462
0.164,0.00027033046796021105,0.055275085570619435,0.0002934828763505138,0.0620352939096013,3.8004499483282435e-06,0.0008099083699947597,0.0,0.0,1.9505252613933634e-05,0.0002184228346780448
0.166,0.00026865915331847226,0.05565339990481667,0.0002957144756775147,0.06331097227026856,3.8134260386804533e-06,0.0008229886757482258,0.0,0.0,1.9931782866619563e-05,0.0002132651263433219
